Fishing Day,River,Month,Day,Year,Weather,Air Temp,Water Temp,Start Time,Crew,End Time,Date
1,Flint,5,15,2019,Cloudy,19,14,1013.0,6,1630.0,2019/5/15
2,Flint,5,24,2019,Cloudy,16,17,945.0,6,1615.0,2019/5/24
3,Flint,5,29,2019,Cloudy,13,18,915.0,5,1605.0,2019/5/29
4,Flint,6,7,2019,Sunny,21,21,945.0,4,1445.0,2019/6/7
5,Flint,6,12,2019,Sunny,23,21,1035.0,3,1415.0,2019/6/12
6,Flint,6,19,2019,Partly-Cloudy,21,22,945.0,6,1345.0,2019/6/19
7,Flint,6,26,2019,Sunny,24,0,935.0,5,1330.0,2019/6/26
8,Flint,7,10,2019,Sunny,27,25,925.0,5,1340.0,2019/7/10
9,Flint,7,17,2019,Cloudy,0,0,930.0,4,1230.0,2019/7/17
10,Flint,7,24,2019,Sunny,21,25,1000.0,6,1400.0,2019/7/24
11,Flint,7,31,2019,Sunny,18,20,920.0,6,1400.0,2019/7/31
12,Flint,8,7,2019,Sunny,23,25,1000.0,6,1400.0,2019/8/7
13,Flint,8,14,2019,Cloudy,20,0,930.0,6,1400.0,2019/8/14
14,Flint,8,15,2019,0,0,0,,6,,2019/8/15
15,Flint,3,10,2021,Cloudy,63,0,1230.0,1,1330.0,2021/3/10
16,Flint,3,17,2021,Sunny,44,0,1200.0,1,1300.0,2021/3/17
17,Flint,5,4,2021,Cloudy,63,0,940.0,7,1530.0,2021/5/4
18,Flint,5,5,2021,Cloudy,66,0,1000.0,8,1430.0,2021/5/5
19,Flint,5,11,2021,Partly-Cloudy,59,0,1200.0,8,1630.0,2021/5/11
20,Flint,5,12,2021,Sunny,60,0,1000.0,7,1530.0,2021/5/12
21,Flint,5,18,2021,Sunny,70,0,1000.0,8,1544.0,2021/5/18
22,Flint,5,19,2021,Cloudy,79,0,1000.0,6,1418.0,2021/5/19
23,Flint,5,24,2021,Cloudy,80,0,1020.0,16,1620.0,2021/5/24
24,Flint,5,25,2021,Partly-Cloudy,79,0,930.0,4,1430.0,2021/5/25
25,Flint,6,1,2021,Sunny,66,0,1000.0,5,1530.0,2021/6/1
26,Flint,6,2,2021,Partly-Cloudy,72,0,950.0,8,1430.0,2021/6/2
27,Flint,6,8,2021,Cloudy,84,0,930.0,8,1400.0,2021/6/8
28,Flint,6,9,2021,Sunny,84,0,910.0,8,1335.0,2021/6/9
29,Flint,6,15,2021,Partly-Cloudy,70,0,930.0,3,1530.0,2021/6/15
30,Flint,6,16,2021,Cloudy,68,0,850.0,8,1550.0,2021/6/16
31,Flint,6,22,2021,Partly-Cloudy,65,0,910.0,7,1430.0,2021/6/22
32,Flint,6,23,2021,Cloudy,72,0,910.0,6,1440.0,2021/6/23
33,Flint,6,29,2021,Partly-Cloudy,79,0,920.0,8,1320.0,2021/6/29
34,Flint,6,30,2021,Cloudy,74,0,910.0,8,1345.0,2021/6/30
35,Flint,7,6,2021,Partly-Cloudy,93,0,900.0,8,1500.0,2021/7/6
36,Flint,7,7,2021,Partly-Cloudy,83,0,930.0,7,1500.0,2021/7/7
37,Flint,7,13,2021,Cloudy,73,0,910.0,7,1530.0,2021/7/13
38,Flint,7,14,2021,Sunny,83,0,910.0,9,1500.0,2021/7/14
39,Flint,7,20,2021,Sunny,74,0,920.0,4,1430.0,2021/7/20
40,Flint,7,21,2021,Sunny,74,0,920.0,7,210.0,2021/7/21
41,Flint,7,27,2021,Cloudy,73,0,900.0,9,1420.0,2021/7/27
42,Flint,7,28,2021,Sunny,84,0,900.0,8,1330.0,2021/7/28
43,Flint,8,3,2021,Sunny,81,0,920.0,7,1410.0,2021/8/3
44,Flint,8,4,2021,Sunny,82,0,910.0,7,1400.0,2021/8/4
45,Flint,8,10,2021,Cloudy,84,0,910.0,7,1430.0,2021/8/10
46,Flint,8,11,2021,Partly-Cloudy,75,0,900.0,7,1230.0,2021/8/11
47,Flint,8,17,2021,Partly-Cloudy,84,0,850.0,7,1200.0,2021/8/17
48,Flint,8,18,2021,Partly-Cloudy,86,0,900.0,4,1400.0,2021/8/18
49,Flint,8,24,2021,Cloudy,75,0,930.0,7,1140.0,2021/8/24
50,Flint,8,25,2021,Sunny,80,0,900.0,7,1345.0,2021/8/25
51,Flint,8,31,2021,Partly-Cloudy,77,0,900.0,5,1130.0,2021/8/31
52,Flint,9,7,2021,Partly-Cloudy,68,0,900.0,8,1145.0,2021/9/7
53,Flint,9,14,2021,Partly-Cloudy,67,0,900.0,7,1130.0,2021/9/14
54,Flint,9,21,2021,Cloudy,72,0,910.0,25,1430.0,2021/9/21
55,Flint,9,28,2021,Partly-Cloudy,64,0,930.0,6,1120.0,2021/9/28
56,Flint,10,5,2021,Cloudy,65,0,915.0,4,1100.0,2021/10/5
57,Flint,10,12,2021,Partly-Cloudy,50,0,1000.0,7,1230.0,2021/10/12
58,Flint,10,19,2021,Partly-Cloudy,47,0,900.0,5,1120.0,2021/10/19
59,Flint,10,26,2021,Sunny,40,0,900.0,6,1120.0,2021/10/26
60,Flint,11,9,2021,Cloudy,58,0,900.0,5,1120.0,2021/11/9
61,Flint,11,16,2021,Cloudy,40,0,900.0,7,1120.0,2021/11/16
62,Flint,11,23,2021,Cloudy,38,0,1815.0,13,2000.0,2021/11/23
63,Flint,11,30,2021,Cloudy,35,0,1815.0,7,1930.0,2021/11/30
