"Fishing Day","River","Month","Day","Year","Weather","Air Temp","Water Temp","Start Time","Crew","End Time"
1,"Flint",5,15,2019,3,19,14,"1013","6",1630
2,"Flint",5,24,2019,3,16,17,"0945","6",1615
3,"Flint",5,29,2019,3,13,18,"0915","5",1605
4,"Flint",6,7,2019,1,21,21,"0945","4",1445
5,"Flint",6,12,2019,1,23,21,"1035","3",1415
6,"Flint",6,19,2019,2,21,22,"0945","6",1345
7,"Flint",6,26,2019,1,24,0,"0935","5",1330
8,"Flint",7,10,2019,1,27,25,"0925","5",1340
9,"Flint",7,17,2019,3,0,0,"0930","4",1230
10,"Flint",7,24,2019,1,21,25,"1000","6",1400
11,"Flint",7,31,2019,1,18,20,"0920","6",1400
12,"Flint",8,7,2019,1,23,25,"1000","6",1400
13,"Flint",8,14,2019,3,20,0,"0930","6",1400
14,"Flint",8,15,2019,0,0,0,,"6",
15,"Flint",3,10,2021,3,63,0,"1230","1",1330
16,"Flint",3,17,2021,1,44,0,"1200","1",1300
17,"Flint",5,4,2021,3,63,0,"0940","7",1530
18,"Flint",5,5,2021,3,66,0,"1000","8",1430
19,"Flint",5,11,2021,2,59,0,"1200","8",1630
20,"Flint",5,12,2021,1,60,0,"1000","7",1530
21,"Flint",5,18,2021,1,70,0,"1000","8",1544
22,"Flint",5,19,2021,3,79,0,"1000","6",1418
23,"Flint",5,24,2021,3,80,0,"1020","16",1620
24,"Flint",5,25,2021,2,79,0,"0930","4",1430
25,"Flint",6,1,2021,1,66,0,"1000","5",1530
26,"Flint",6,2,2021,2,72,0,"0950","8",1430
27,"Flint",6,8,2021,3,84,0,"0930","8",1400
28,"Flint",6,9,2021,1,84,0,"910","8",1335
29,"Flint",6,15,2021,2,70,0,"930","3",1530
30,"Flint",6,16,2021,3,68,0,"850","8",1550
31,"Flint",6,22,2021,2,65,0,"910","7",1430
32,"Flint",6,23,2021,3,72,0,"910","6",1440
33,"Flint",6,29,2021,2,79,0,"920","8",1320
34,"Flint",6,30,2021,3,74,0,"910","8",1345
35,"Flint",7,6,2021,2,93,0,"900","8",1500
36,"Flint",7,7,2021,2,83,0,"930","7",1500
37,"Flint",7,13,2021,3,73,0,"910","7",1530
38,"Flint",7,14,2021,1,83,0,"910","9",1500
39,"Flint",7,20,2021,1,74,0,"920","4",1430
40,"Flint",7,21,2021,1,74,0,"920","7",210
41,"Flint",7,27,2021,3,73,0,"900","9",1420
42,"Flint",7,28,2021,1,84,0,"900","8",1330
43,"Flint",8,3,2021,1,81,0,"920","7",1410
44,"Flint",8,4,2021,1,82,0,"910","7",1400
45,"Flint",8,10,2021,3,84,0,"910","7",1430
46,"Flint",8,11,2021,2,75,0,"900","7",1230
47,"Flint",8,17,2021,2,84,0,"850","7",1200
48,"Flint",8,18,2021,2,86,0,"900","4",1400
49,"Flint",8,24,2021,3,75,0,"930","7",1140
50,"Flint",8,25,2021,1,80,0,"900","7",1345
51,"Flint",8,31,2021,2,77,0,"900","5",1130
52,"Flint",9,7,2021,2,68,0,"900","8",1145
53,"Flint",9,14,2021,2,67,0,"900","7",1130
54,"Flint",9,21,2021,3,72,0,"910","25",1430
55,"Flint",9,28,2021,2,64,0,"930","6",1120
56,"Flint",10,5,2021,3,65,0,"915","4",1100
57,"Flint",10,12,2021,2,50,0,"1000","7",1230
58,"Flint",10,19,2021,2,47,0,"900","5",1120
59,"Flint",10,26,2021,1,40,0,"900","6",1120
60,"Flint",11,9,2021,3,58,0,"900","5",1120
61,"Flint",11,16,2021,3,40,0,"900","7",1120
62,"Flint",11,23,2021,3,38,0,"1815","13",2000
63,"Flint",11,30,2021,3,35,0,"1815","7",1930
